
Contract: .migrations
Function Name | Function Signature
--------------------------------

Contract: AdlHandler
Function Name | Function Signature
--------------------------------
AdlNotRequired       | 0xd06ed8be
CompactedArrayOutOfBounds | 0xbdec9c0d
DisabledFeature      | 0xdd70e0c9
DisabledMarket       | 0x09f8c937
EmptyCompactedBlockNumber | 0x693ebfba
EmptyMarket          | 0x05fbc1ae
InvalidAdl           | 0x1d4fc3c0
InvalidSwapMarket    | 0xcb9bd134
PnlOvercorrected     | 0x9f0bc7de
Unauthorized         | 0xa35b150b
UnsupportedOracleBlockNumberType | 0xb6029281
OracleError          | 0x9966b250
dataStore            | 0x660d0d67
eventEmitter         | 0x9ff78c30
executeAdl           | 0xcbf247a9
oracle               | 0x7dc0d1d0
orderVault           | 0x93845e46
referralStorage      | 0x006cc35e
roleStore            | 0x4a4a7b04
swapHandler          | 0x8a53aaac
updateAdlState       | 0x36145feb

Contract: AdlUtils
Function Name | Function Signature
--------------------------------
AdlNotEnabled        | 0x3285dc57
DisabledMarket       | 0x09f8c937
EmptyMarket          | 0x05fbc1ae
InvalidSizeDeltaForAdl | 0x720bb461
OracleBlockNumbersAreSmallerThanRequired | 0x79181780
validateAdl          | 0x85671ac5

Contract: BaseOrderUtils
Function Name | Function Signature
--------------------------------

Contract: CallbackUtils
Function Name | Function Signature
--------------------------------
AfterDepositCancellationError | 0x976d8c92
AfterDepositExecutionError | 0xcc46f8aa
AfterOrderCancellationError | 0xc4e9fc55
AfterOrderExecutionError | 0xde9631cd
AfterOrderFrozenError | 0xaf7ea598
AfterWithdrawalCancellationError | 0x1ae6cb22
AfterWithdrawalExecutionError | 0x9b8b3b07

Contract: Config
Function Name | Function Signature
--------------------------------
InvalidBaseKey       | 0xeb19d3f5
InvalidFeeFactor     | 0xce135bf4
Unauthorized         | 0xa35b150b
MAX_FEE_FACTOR       | 0xaf4937fc
allowedBaseKeys      | 0x06850ad9
dataStore            | 0x660d0d67
eventEmitter         | 0x9ff78c30
multicall            | 0xac9650d8
roleStore            | 0x4a4a7b04
setAddress           | 0x160d0ce6
setBool              | 0xaa0179a5
setBytes32           | 0x039f2ca6
setInt               | 0xf70f0da2
setPositionImpactDistributionRate | 0xffe478f3
setUint              | 0xa43f85c5

Contract: DataStore
Function Name | Function Signature
--------------------------------
Unauthorized         | 0xa35b150b
addAddress           | 0xb348e639
addBytes32           | 0xc80f4c62
addUint              | 0xadb353dc
addressArrayValues   | 0x22f87464
addressValues        | 0x22538dae
applyBoundedDeltaToUint | 0x8ca498b0
applyDeltaToInt      | 0xe4e36c4e
applyDeltaToUint     | 0x32f85bbf
applyDeltaToUint     | 0x3dbacd1a
boolArrayValues      | 0x80aacdcd
boolValues           | 0x44a242b1
bytes32ArrayValues   | 0xbf498dd3
bytes32Values        | 0xd52852af
containsAddress      | 0xc769d1a1
containsBytes32      | 0x91d4403c
containsUint         | 0x310b8882
decrementInt         | 0x6fae54f0
decrementUint        | 0xe98aabc1
getAddress           | 0x21f8a721
getAddressArray      | 0x5948f733
getAddressCount      | 0x35ea8059
getAddressValuesAt   | 0xe7e4148e
getBool              | 0x7ae1cfca
getBoolArray         | 0x116bb929
